,url,title,summary,text
a_lost_wand,https://en.wikipedia.org/wiki/A_Lost_Wand,A Lost Wand,"""A Lost Wand"" is a fairy tale written by Jean Ingelow. It was first published in 1872 as part of The Little Wonder Horn, and later republished as one of the stories in Wonder-Box Tales in 1902. The story revolves around Hulda, a lucky young girl in Norway who receives the opportunity to be granted a wish after finding a ring in her slice of cake.

","After finding a magical ring in her slice of cake, Hulda is given the opportunity to make a wish. A fairy appears from the flower on top of the cake, and tells Hulda she will give her anything she wishes for. Unknowing of what her wish would bring, she asks for the fairy's wand. After handing Hulda her beautiful gold wand, the fairy is stripped of her powers and will ultimately be held at the will of her enemy if she doesn’t one day retrieve the wand. It could not be returned immediately, it had to be on a midsummers day. Until then, the fairy requested that Hulda keep it safe for her while she was gone. Days passed and the fairy had never returned, this left Hulda believing that the fairy had died. Then a dishonest guest paid a visit to Hulda and convinced her to trade the wand for a piece of his beautiful jewelry. After trading the wand for a bracelet with a bird clasp, Hulda realizes her visitor was actually a gnome. The gnome was the enemy the fairy had been worried about; with the wand in his possession he would make the fairy his slave. Hulda was aware she made a mistake, and did not rest until she retrieved the gold wand and returned it to the fairy. Not only did she give the fairy her powers back, but also in turn she saved her own life."
a_riddling_tale,https://en.wikipedia.org/wiki/A_Riddling_Tale,A Riddling Tale,"A Riddling Tale is a German fairy tale collected by the Brothers Grimm in Grimm's Fairy Tales.It is Aarne-Thompson type 407, the girl as a flower.  The tale portion of it is subordinate to the riddle, and the tale is not widely found in the oral tradition.","Three women were changed into flowers which grew in the field, but one of them was allowed to be in her own home at night. Then once when day was drawing near, and she was forced to go back to her companions in the field and become a flower again, she said to her husband, “If thou wilt come this afternoon and gather me, I shall be set free and henceforth stay with thee.” And he did so. Now the question is, how did her husband know her, for the flowers were exactly alike, and without any difference? Answer: as she was at her home during the night and not in the field, no dew fell on her as it did on the others, and by this her husband knew her."
a_string_of_pearls_twined_with_golden_flowers,https://en.wikipedia.org/wiki/A_String_of_Pearls_Twined_with_Golden_Flowers,A String of Pearls Twined with Golden Flowers,"A String of Pearls Twined with Golden Flowers, The Golden Twins or Pearls, Thread Yourselves (Romanian: Înşiră-te mărgăritari) is a Romanian fairy tale collected by Petre Ispirescu in Legende sau basmele românilor.

","A young and handsome king, whenever he could leave his duties, liked to wander the world.  He passed by the castle of an emperor and heard his three daughters speak.  They all wished they could marry him; the oldest said that she would keep his house clean; the second, that she would make his house like two golden apples; the third, that she would bear him golden twins.  He married the third, and she became pregnant, but his old favorite, a gypsy slave, envied the queen.  When the children were due, the king had to go to war.  He was greeted back with two puppies, which he was told the queen had borne.  He made the queen a slave, and the gypsy girl his queen.
In reality, the queen had borne two golden babies, but the gypsy girl had killed them and buried them in the vineyard.  Two firs grew from their graves. At night, they turned into children again and went to nurse from their mother, which consoled her.  The king liked the trees but the gypsy hated them, and she made him cut them down.  The king had two beds made from them.  In the night, the beds talked to each other; the one carrying the gypsy did not like it, but the one carrying their father liked it better.  The gypsy girl heard it and had them burned.  Two sparks flew into bran that an ewe had ate, and the ewe gave birth to two lambs with golden fleeces.  The king saw these lambs and loved them.  The gypsy girl had them killed and assigned the queen the task of washing out their entrails.
A crow caught some of the entrails and would not give it back without some cornmeal; the miller would not give her cornmeal without a chicken; a hen would not give her chick without corn; but a kind farmer gave her corn, the hen then gave her a chick, the miller then gave her cornmeal, and the crow then gave her back the piece – but more had washed away while she did this, and she could not retrieve it.
The entrails caught on a snag, and when the waters retreated, they became a girl and a boy.  The boy cut down osiers with his hatchet and the girl spun on her distaff, and people came to look at their beauty.  The king was so delighted that he took them home, and the gypsy girl did not dare do anything to them.  One day she broke her pearl necklace and it could not be rethreaded; the pearls escaped everyone's fingers.  The king asked the children to do it, and they could.  While they did it, the boy told the king the story of their lives (with a refrain of ""o, a string of pearls twined with golden flowers"").  The king had the gypsy girl stoned to death and restored his queen."
a_tale_of_the_tontlawald,https://en.wikipedia.org/wiki/A_Tale_of_the_Tontlawald,A Tale of the Tontlawald,"A Tale Of The Tontlawald (Estonian: Tontla mets) is an Estonian fairy tale collected by Dr. Friedrich Kreutzwald in Eestirahwa Ennemuistesed jutud.   W. F. Kirby included it, as ""The Wood of Tontla"" in The Hero of Esthonia.  Andrew Lang included it in The Violet Fairy Book; he listed his source as Ehstnische Märchen, which was the German translation of Kreutzwald's work, by F. Löwe.

","No one ventured to Tontlawald.  The King of Sweden had ordered the woods chopped down, but no one dared. 
Some bold souls had ventured into Tontlawald, and reported seeing a ruined house surrounded by beings that looked like men, women, and children.  One night a peasant who had wandered farther than most came back with the same tale, adding that an old crone stirred the fire now and again, which sent the children away, shrieking, and an old man had carried a sack into the woods, with women and children weeping and trying to pull down the sack, and a black cat as big as a foal.  No one believed him.
A peasant had remarried, and he and his new wife quarreled, and she abused her stepdaughter Elsa.  One day, the children were gathering strawberries when a boy realized they were in the Tontlawald; the rest ran off, but Elsa did not think the woods could be worse than her stepmother.  She met a little black dog with a silver collar, and a maiden dressed in silk who asked her to stay and be her friend.  The maiden brought Elsa back to her mother, who initially resisted allowing Elsa to stay but finally agreed.  The maiden took Elsa to the sea and they played there, and came back in the evening.  That evening, a man made a copy of Elsa and sent the copy back to the village in her place.  Elsa stayed many years and learned many marvels, and grew up as the maiden did not.
Finally, however, the lady there said that Elsa must leave because she had grown up.
Back in the village, the stepmother had beaten the figure until one day a venomous snake came out of its mouth and killed her.  Her husband found her, and then that night ate a piece of bread.  In the morning, he was as dead as his wife, because it had been in the figure.
The lady turned Elsa into a bird, and she flew home.  There, a prince shot her while she was in her bird form.  When she fell to the ground, she reassumed her human form.  The prince took her home and married her, and in time, she became queen.
No one ever heard of the Tontlawald after that."
one_thousand_and_one_nights,https://en.wikipedia.org/wiki/Abdullah_the_Fisherman_and_Abdullah_the_Merman,One Thousand and One Nights,"One Thousand and One Nights (Arabic: أَلْفُ لَيْلَةٍ وَلَيْلَةٌ, ʾAlf Laylah wa-Laylah) is a collection of Middle Eastern folk tales compiled in Arabic during the Islamic Golden Age. It is often known in English as the Arabian Nights, from the first English-language edition (c. 1706–1721), which rendered the title as The Arabian Nights' Entertainment.The work was collected over many centuries by various authors, translators, and scholars across West, Central and South Asia, and North Africa. Some tales trace their roots back to ancient and medieval Arabic, Egyptian, Sanskrit, Persian, and Mesopotamian literature. Many tales were originally folk stories from the Abbasid and Mamluk eras, while others, especially the frame story, are most probably drawn from the Pahlavi Persian work Hezār Afsān (Persian: هزار افسان, lit. A Thousand Tales), which in turn relied partly on Indian elements.Common to all the editions of the Nights is the framing device of the story of the ruler Shahryār being narrated the tales by his wife Scheherazade. The stories proceed from this original tale; some are framed within other tales, while some are self-contained. Some editions contain only a few hundred nights, while others include 1001 or more. The bulk of the text is in prose, although verse is occasionally used for songs and riddles and to express heightened emotion. Most of the poems are single couplets or quatrains, although some are longer.
Some of the stories commonly associated with the Arabian Nights—particularly ""Aladdin's Wonderful Lamp"" and ""Ali Baba and the Forty Thieves""—were not part of the collection in its original Arabic versions but were added to the collection by Antoine Galland after he heard them from the Syrian Maronite Christian storyteller Hanna Diab on Diab's visit to Paris. Other stories, such as ""The Seven Voyages of Sinbad the Sailor"", had an independent existence before being added to the collection.","The main frame story concerns Shahryār whom the narrator calls a ""Sasanian king"" ruling in ""India and China."" Shahryār is shocked to learn that his brother's wife is unfaithful. Discovering that his own wife's infidelity has been even more flagrant, he has her killed. In his bitterness and grief, he decides that all women are the same. Shahryār begins to marry a succession of virgins only to execute each one the next morning, before she has a chance to dishonor him.
Eventually the Vizier (Wazir), whose duty it is to provide them, cannot find any more virgins. Scheherazade the vizier's daughter, offers herself as the next bride and her father reluctantly agrees. On the night of their marriage, Scheherazade begins to tell the king a tale, but does not end it. The king, curious about how the story ends, is thus forced to postpone her execution in order to hear the conclusion. The next night, as soon as she finishes the tale, she begins another one, and the king, eager to hear the conclusion of that tale as well, postpones her execution once again. This goes on for one thousand and one nights, hence the name.
The tales vary widely: they include historical tales, love stories, tragedies, comedies, poems, burlesques, and various forms of erotica. Numerous stories depict jinn, ghouls, ape people, sorcerers, magicians, and legendary places, which are often intermingled with real people and geography, not always rationally. Common protagonists include the historical Abbasid caliph Harun al-Rashid, his Grand Vizier, Jafar al-Barmaki, and the famous poet Abu Nuwas, despite the fact that these figures lived some 200 years after the fall of the Sassanid Empire, in which the frame tale of Scheherazade is set. Sometimes a character in Scheherazade's tale will begin telling other characters a story of his own, and that story may have another one told within it, resulting in a richly layered narrative texture.
Versions differ, at least in detail, as to final endings (in some Scheherazade asks for a pardon, in some the king sees their children and decides not to execute his wife, in some other things happen that make the king distracted) but they all end with the king giving his wife a pardon and sparing her life.
The narrator's standards for what constitutes a cliffhanger seem broader than in modern literature. While in many cases a story is cut off with the hero in danger of losing their life or another kind of deep trouble, in some parts of the full text Scheherazade stops her narration in the middle of an exposition of abstract philosophical principles or complex points of Islamic philosophy, and in one case during a detailed description of human anatomy according to Galen—and in all of these cases she turns out to be justified in her belief that the king's curiosity about the sequel would buy her another day of life."
adventures_of_gilla_na_chreck_an_gour,https://en.wikipedia.org/wiki/Adventures_of_Gilla_Na_Chreck_An_Gour,Adventures of Gilla Na Chreck An Gour,"Adventures of Gilla Na Chreck An Gour (""The Fellow in the Goatskin"") is an Irish fairy tale collected by folklorist Patrick Kennedy and published in Legendary Fictions of the Irish Celts (1866). The tale was also published by Irish poet Alfred Perceval Graves in his Irish Fairy Book (1909). Joseph Jacobs published the tale as The Lad with the Goat-Skin in his Celtic Fairy Tales.The tale is classified in the Aarne-Thompson-Uther Index as ATU 650A, ""Strong John"".

","In Enniscorthy, a woman is so poor that she gives her son (an ash-lad), who lives around the hearth, a goat-skin to wrap around the waist. When he is ""six foot high"" and nineteen years old, his mother sends him to the forest to fetch some ""bresna"". He finds a nine-foot-high giant in the woods and spares his life, gaining a club from the giant. When sent again, he meets a two-headed giant who gives Tom (Gilla's name) a magical fife that makes people dance, and a three headed giant who gives him a ""green ointment"" that grants immunity against burns, wounds and scalding.
Later, he walks down the road and reaches a city. There he learns that the King of Dublin's daughter hasn't laughed in seven years, and intends to make her laugh three times. The second time, Tom uses the magical fife to command a terrible wolf to dance. On that same night, the king tells Tom he needs a powerful flail to vanquish the Danes. So Tom ""travelled and travelled till he came in sight of the walls of hell"" and talked to the devils to loan the flail.
His rival at court, a fellow named Redhead, tries to wield the flail and fails, which creates a scene so comical that the princess bursts out laughing. The princess accepts Tom as his husband. The Danes, eventually, give up their plans of invading Dublin, so frightened they were of rumors of the flail."
again__the_snake_bridegroom,"https://en.wikipedia.org/wiki/Again,_The_Snake_Bridegroom","Again, The Snake Bridegroom","Again, The Snake Bridegroom (Serbian: Opet zmija mladoženja; German: Wieder vom Schlangenbräutigam) is a Serbian folktale collected in the 19th century by Serbian philologist Vuk Karadžić, featuring the marriage between a human maiden and a husband in serpent guise.
The tale is related to the international cycle of the Animal as Bridegroom or The Search for the Lost Husband, and shares motifs with other tales of the region, like Hungarian The Serpent Prince and Romanian Trandafiru.

","A childless queen prays to God for a child, even if it is a snake. God answers her prayers and a snake child is born. They raise the child for years and finally the snake talks to its parents: he wants a bride. His parents arrange a marriage for him with a peasant girl and they marry. Some time later, the girl appears pregnant and the queen questions how that is possible if her son is a snake. The girl reveals her husband takes off the snake skin at night and becomes a handsome man. The queen delights at this information and tells her daughter-in-law she should burn the snakeskin to keep him in human form for good.
That night, the girl does as asked. Her husband awakes and curses his wife to walk with iron shoes and to not give birth until she finds him again and he places his right arm over her body, and vanishes. The girl goes after him and passes by the Mother of the Sun (who gives her a golden distaff with golden flax and a golden spindle), the Mother of the Moon (who gives her a golden hen with golden chicks) and the Mother of the Winds (who gives her a golden loom with golden yarn). The Wind directs her to another kingdom, where her husband has married another empress.
She walks a bit more and reaches the kingdom. She positions herself by the Empress's castle doors, and takes out the golden object she received to draw the Empress's attention. She trades the objects for three nights with her husband: on the first two, he does not respond to her plea, because he has drunk a sleeping potion, but on the third night, he listens to her plight and touches her belly. Their child is born (a golden-haired, golden-armed boy), and they return home."
almondseed_and_almondella,https://en.wikipedia.org/wiki/Almondseed_and_Almondella,Almondseed and Almondella,"Almondseed and Almondella is a Greek fairy tale collected by Georgios A. Megas in Folktales of Greece.It is Aarne-Thompson type 1641 Doctor Know-All.  Other tales of this type are Doctor Know-all and The Charcoal Burner.

","A poor man sees a black hen, tied to the weaver's, and hears a woman calling for help because her black hen has been stolen.  To pretend to learn where it is, he reads a book, and she gives him two piastres.  He decides to become a seer.  One day, the king's servants come, asking whether the queen will have a boy or a girl; the seer reads through his book, muttering ""Boy, girl, boy, girl..."" until they tire of it and leave.  The queen has twins, a boy and a girl, and the servants tell the king.  The king, whose coffer has been stolen, sends for the seer to learn about the theft.  In a room, he asks for almonds; the first night, he says, ""This is the first"", meaning the first night, but one of three thieves is eavesdropping and thinks it means him.  He runs to his confederates.  The second one arrives the next night, and when the seer says, ""The second has come"", meaning the night, the thief takes it to mean him.  When the third thief hears him the third night, they beg for mercy and show him where they have hid the coffer.  The seer presents it to the king. They then walk in the garden, where the king picks an almond from a tree and asks the seer what he has in his hand.  The seer's name is Almondseed, and his wife is Almondella.  He speaks of Almondseed, whom Almondella let fall into the king's hand, but the king takes it for the almond and its tree, and gives him gold."
alphege__or_the_green_monkey,"https://en.wikipedia.org/wiki/Alphege,_or_the_Green_Monkey","Alphege, or the Green Monkey","Alphege, or the Green Monkey (in French : Alphinge ou le singe vert) is a French literary fairy tale, included in a work entitled Nouveaux Contes de fées (1718). In his compilation Le Cabinet des Fées (tome 31), Charles-Joseph de Mayer stated that the author was unknown, but it was finally attributed to the Chevalier de Mailly (1657–1724). Andrew Lang collected it in The Yellow Fairy Book.

","A king's wife dies in childbirth, leaving a boy heir. The godmother, the ""Good Queen"", names the boy Alphege and keeps an eye on him from afar. Alphege is brought up by a lady courtier and her husband, who also have daughter, Zayda.  The king eventually remarries and has another son; the new queen becomes jealous that Alphege, and not her own son, will become king and seeks help from her friend the ""Fairy of the Mountain"". The Good Queen sends Alphege a talisman, a red ruby, which will protect him only within his father's realm. The wicked queen fruitlessly plots to get Alphege out of the country, until chance intervenes and he is sent to visit the king's sister. On the way, the entourage stops by a brook, where Alphege drinks the water and immediately rushes off and disappears. Searchers are told by a mysterious black monkey that he will not return until after they have failed for some time to recognise him. The entourage returns; the king dies in his grief and the wicked queen's son becomes king.
Years later, the king is out hunting and spies a green monkey looking at him strangely; he entices it to eat and takes it back to the palace. Soon later, the monkey escapes to the house of Zayda and her mother (the father having died). The mother becomes convinced it is Alphege, and then the Good Queen appears to her in a dream. She and Zayda follow the Good Queen's instructions and restore Alphege. Meanwhile, the wicked queen implores the king to kill an ""impostor"" raised up by plotters of a revolt. Instead, he makes inquiries and goes to confront the women at their home. He is astounded to meet Alphege, and immediately renounces his crown. At the palace, Alphege displays the ruby talisman, which splits with a loud noise, and the wicked queen dies. Alphege marries Zayda and shares the throne with his stepbrother."
amis_et_amiles,https://en.wikipedia.org/wiki/Amis_et_Amiles,Amis et Amiles,"Amis et Amiles is an old French romance based on a widespread legend of friendship and sacrifice. In its earlier and simpler form it is the story of two friends, one of whom, Amis, was sick with leprosy because he had committed perjury to save his friend. A vision informed him that he could only be cured by bathing in the blood of Amiles's children. When Amiles learnt this he killed the children, who were, however, miraculously restored to life after the cure of Amis.The tale found its way into French literature through the medium of Latin, as the names Amicus and Amelius indicate, and was eventually attached to the Carolingian cycle in the 12th-century chanson de geste of Amis et Amiles. This poem is written in decasyllabic assonanced verse, each stanza being terminated by a short line. It belongs to the heroic period of French epic, containing some passages of great beauty, notably the episode of the slaying of the children, and maintains a high level of poetry throughout.The oldest version is a Latin poem composed around 1090 by Radulphus Tortarius, a monk of Fleury. The opening lines suggests that the poet was retelling a popular tale: Historiam Gallus, breviter quam replico, novit... (The Gaul knows the tale, which I am briefly telling...). More distant origins are rooted in folklore.","Amis has married Lubias and become count of Blaives (Blaye), while Amiles has become seneschal at the court of Charlemagne, and is seduced by the emperor's daughter, Bellisant. The lovers are betrayed, and Amiles is unable to find the necessary supporters to enable him to clear himself by the ordeal of single combat, and fears, moreover, to fight in a false cause. He is granted a reprieve, and goes in search of Amis, who engages to personate him in the combat. He thus saves his friend, but in so doing perjures himself. Then follows the leprosy of Amis, and, after a lapse of years, his discovery of Amiles and cure.
There are obvious reminiscences in this story of Damon and Pythias, and of the classical instances of sacrifice at the divine command. The legend of Amis and Amiles occurs in many forms with slight variations, the names and positions of the friends being sometimes reversed. The crown of martyrdom was not lacking, for Amis and Amiles were slain by Ogier the Dane at Novara on their way home from a pilgrimage to the Holy Land.Jourdain de Blaives, a chanson de geste which partly reproduces the story of Apollonius of Tyre, was attached to the geste of Amis by making Jourdain his grandson."
